Name,Number,Address,Location
Tapion Hospital,1 758-459-2000, Tapion RD,Castries
St.Judes Hospital,1 758-459-6700,Pointe Sable,Vieux Fort
St. Anthony Medical Center,1 758-454-4040,Clarke Lane,Vieux-Fort
OKEU Hospital,1 758-458-6500,Millennium Hwy,Castries
Dennery Hospital,1 758-453-3310,Hospital Road,Dennery
St.Anthony Medical Center,1 758-459-7040,Church St,Soufriere
Bay Medical Center,1 758-459-2640,Tapion RD,Castries
Castries Health Center,1 758-452-4416,,Castries
Grand Riviere Health Center,1 758-450-1651,,Grand Riviere
Millennium Height Medical Complex,1 758-458-6500,Millennium Height,Ciceron
St.Anthony Medical Center,1 758-452-2040,,Castries
Southern Medical Center,1 758-454-5018,,Vieux Fort
Babonneau Health Center,,,Babonneau
